ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0144,Operable,Miami: Eel River or Thornton Party,,,,,,,,,,,,,,,,,,,,"Wyandot Village, near the Wabash",IN,02-11-1828,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0286.htm,
V0145,Operable,Cherokee west of the Mississippi,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-06-1828,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/Che0288.htm,
V0146,Operable,Winnebago,Potawatomi,Chippewa,Ottawa,,,,,,,,,,,,,,,,,Green Bay,MI,08-25-1828,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0292.htm,
V0147,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,Mission on St Joseph River,MI,09-20-1828,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0294.htm,
V0148,Operable,Chippewa,Ottawa,Potawatomi,,,,,,,,,,,,,,,,,,Prairie du Chien,MI,07-29-1829,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0297.htm,
V0149,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,Prairie du Chien,MI,08-01-1829,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0300.htm,
V0150,Operable,Delaware,,,,,,,,,,,,,,,,,,,,Little Sandusky,OH,08-03-1829,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0303.htm,
V0151,Operable,Delaware,,,,,,,,,,,,,,,,,,,,James'  Fork of the White River,MO,09-24-1829,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0304.htm,
V0152,Operable,Sauk,Fox,Sioux,Omaha,Iowa,Oto,Missouria,,,,,,,,,,,,,,Prairie du Chien,MI,07-15-1830,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0305.htm,
V0153,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,Dancing Rabbit Creek,MS,09-27-1830,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0310.htm,
V0154,Operable,Menominee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-08-1831,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0319.htm,
V0155,Operable,Menominee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-17-1831,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0323.htm,
V0156,Operable,"Seneca on Sandusky Rover, Ohio",,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-28-1831,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sen0325.htm,
V0157,Operable,Seneca,Shawnee,,,,,,,,,,,,,,,,,,,"Lewistown, Logan County",OH,07-20-1831,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sen0327.htm,
V0158,Operable,Shawnee,,,,,,,,,,,,,,,,,,,,Wapakoneta,OH,08-08-1831,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sha0331.htm,
V0159,Operable,Ottawa in Ohio,,,,,,,,,,,,,,,,,,,,Ottowa Reserve on Lake Erie,OH,08-30-1831,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0335.htm,
V0160,Operable,Wyandot,,,,,,,,,,,,,,,,,,,,"McCutchenville, Crawford County",OH,01-19-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0339.htm,
V0161,Operable,Creek,,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-24-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0341.htm,
V0162,Operable,Seminole,,,,,,,,,,,,,,,,,,,,"Payne's Landing, on Ocklawaha River",FL,05-09-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sem0344.htm,
V0163,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,Fort Armstrong,IL,09-15-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0345.htm,
V0164,Operable,Sauk,Fox,,,,,,,,,,,,,,,,,,,Fort Armstrong,IL,09-21-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0349.htm,
V0165,Operable,Apalachicola,,,,,,,,,,,,,,,,,,,,Tallahassee,FL,10-11-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/app0352.htm,
V0166,Operable,Potawatomi of the Prairie,,,,,,,,,,,,,,,,,,,,Camp Tippecanoe,IN,10-20-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0353.htm,
V0167,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Pontitoc Creek,MS,10-20-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0356.htm,
V0168,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Pontitoc Creek,MS,10-20-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0362.htm,
V0169,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,"Castor Hill, St. Louis County",MO,10-24-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0365.htm,
V0170,Operable,Potawatomi,,,,,,,,,,,,,Elkhart,Wabash,,,,,,Tippecanoe River,IN,10-26-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0367.htm,
V0171,Operable,Shawnee,Delaware,,,,,,,,,,,,,,,,,,,"Castor Hill, St. Louis County",MO,10-26-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sha0370.htm,
V0172,Operable,Potawatomi in Indiana and Michigan Territory,,,,,,,,,,,,,,,,,,,,Tippecanoe River,IN,10-27-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0372.htm,
V0173,Operable,Kaskaskia,Peoria,Cahokia,Michihamea,Tamaroa,,,,,,,,,,,,,,,,"Castor Hill, St. Louis County",MO,10-27-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/kas0376.htm,
V0174,Operable,Menominee,,,,,,,,,,,,,,,,,,,,"Agency House, Green Bay",MI,10-27-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0377.htm,
V0175,Operable,Piankeshaw,Wea,,,,,,,,,,,,,,,,,,,"Castor Hill, St. Louis County",MO,10-29-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/pia0382.htm,
V0176,Operable,Seneca,Shawnee,,,,,,,,,,,,,,,,,,,Seneca Agency,OK,12-29-1832,191,http://digital.library.okstate.edu/kappler/Vol2/treaties/sen0383.htm,
V0177,Operable,Cherokee west of the Mississippi,,,,,,,,,,,,,,,,,,,,Fort Gibson,AR,02-14-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/Che0385.htm,
V0178,Operable,Creek,,,,,,,,,,,,,,,,,,,,Fort Gibson,AR,02-14-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0388.htm,
V0179,Operable,Ottawa,,,,,,,,,,,,,,,,,,,,Maumee,OH,02-18-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0392.htm,
V0180,Operable,Seminole,,,,,,,,,,,,,,,,,,,,Fort Gibson,AR,03-28-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/sem0394.htm,
V0181,Operable,Quapaw,,,,,,,,,,,,,,,,,,,,New Garscony,AR,05-13-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/qua0395.htm,
V0182,Operable,Apalachicola,,,,,,,,,,,,,,,,,,,,"Pope's, Fayette County",FL,06-18-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/app0398.htm,
V0183,Operable,Oto,Missouria,,,,,,,,,,,,,,,,,,,"Oto Village, on the Platte River",NE,09-21-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/oto0400.htm,
V0184,Operable,Chippewa,Ottawa,Potawatomi,,,,,,,,,,,,,,,,,,Chicago,IL,09-26-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0402.htm,
V0185,Operable,Pawnee,,,,,,,,,,,,,,,,,,,,Grand Pawnee Village on the Platte River,NE,10-09-1833,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0416.htm,
V0186,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-24-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0418.htm,
V0187,Operable,Miami,,,,,,,,,,,,,,,,,,,,Forks of the Wabash,IN,10-23-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0425.htm,
V0188,Operable,Potawatomi,,,,,,,,,,,,,Comoza,,,,,,,Lake Maxeeniekuelee,IN,12-04-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0428.htm,
V0189,Operable,Potawatomi,,,,,,,,,,,,,Muck Rose,,,,,,,On Tippecanoe River,IN,12-10-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0429.htm,
V0190,Operable,Potawatomi,,,,,,,,,,,,,Ashkum,,,,,,,Potawatomi Mills,IN,12-16-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0430.htm,
V0191,Operable,Potawatomi,,,,,,,,,,,,,Mota,,,,,,,"Indian Agency, Logansport",IN,12-17-1834,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0431.htm,
V0192,Operable,Caddo,,,,,,,,,,,,,,,,,,,,Caddo Agency House,LA,07-01-1835,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/cad0432.htm,
V0193,Operable,Comanche,Wichita,Cherokee,Creek,Choctaw,Osage,Seneca,Quapaw,,,,,,,,,,,,,"Camp Holmes, near Canadian River",AR,08-24-1835,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/com0435.htm,
V0194,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,New Echota,GA,12-29-1835,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0439.htm,
V0195,Operable,Potawatomi,,,,,,,,,,,,,Mesquawbuck's,,,,,,,Turkey Creek Prairie,IN,03-26-1836,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0450.htm,
V0196,Operable,Ottawa,Chippewa,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-28-1836,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0450.htm,
V0197,Operable,Potawatomi,,,,,,,,,,,,,Waukewa's,,,,,,,Tippecanoe River,IN,03-29-1836,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0457.htm,
V0198,Operable,Potawatomi,,,,,,,,,,,,,Aubbeenaubee's band,,,,,,,Tippecanoe River,IN,04-11-1836,192,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0457a.htm,
V0199,Operable,Potawatomi,,,,,,,,,,,,,Okahmause,Neeboash,Keewawnay,Matchislaw,,,,"Indian Agency, Logansport",IN,04-22-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0458.htm,
V0200,Operable,Potawatomi,,,,,,,,,,,,,Naswakee's,Quashquaw's,,,,,,"Indian Agency, Logansport",IN,04-23-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0459.htm,
V0201,Operable,Wyandot in Ohio,,,,,,,,,,,,,,,,,,,,Washington DC,DC,04-23-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0460.htm,
V0202,Operable,Chippewa,,,,,,,,,,,,,Swan Creek ,Black River,,,,,,Washington DC,DC,05-09-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0461.htm,
V0203,Operable,Potawatomi,,,,,,,,,,,,,Pepinawaw,Notawkah,Mackahmoah,,,,,Near Yellow River,IN,08-05-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0462.htm,
V0204,Operable,Menominee,,,,,,,,,,,,,,,,,,,,"Cedar Point, near Green Bay",WI,09-03-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0463.htm,
V0205,Operable,Sioux,,,,,,,,,,,,,Wahashaw's,,,,,,,NA,NA,09-10-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0466.htm,
V0206,Operable,Iowa,Sauk of the Missouri,Fox of the Missouri,,,,,,,,,,,,,,,,,,Fort Leavenworth,KS,09-17-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0468.htm,
V0207,Operable,Potawatomi,,,,,,,,,,,,,Wewesah,Mematway,Chequarako,,,,,Chippewanaung,IN,09-20-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0470.htm,
V0208,Operable,Potawatomi,,,,,,,,,,,,,Mosack's,,,,,,,Chippewanaung,IN,09-22-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0471.htm,
V0209,Operable,Potawatomi of the Wabash,,,,,,,,,,,,,,,,,,,,Chippewanaung,IN,09-23-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0471a.htm,
V0210,Operable,Sauk,Fox,,,,,,,,,,,,,,,,,,,NA,NA,09-27-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0473.htm,
V0211,Operable,Sauk ,Fox,,,,,,,,,,,,,,,,,,,Treaty Ground Opposite Rock Island,MI,09-28-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0474.htm,
V0212,Operable,Otoe,Missouria,Omaha,Yankton Sioux,Santee Sioux,,,,,,,,,,,,,,,,"Bellevue, Upper Missouri River",NE,10-15-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/oto0479.htm,
V0213,Operable,Wahpekute Sioux,Sisseton Sioux,Mdewankanton Sioux,,,,,,,,,,,,,,,,,,NA,NA,11-30-1836,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0481.htm,
V0214,Operable,Saginaw Chippewa,,,,,,,,,,,,,,,,,,,,Detroit,MI,01-14-1837,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0482.htm,
V0215,Operable,Choctaw,Chickasaw,,,,,,,,,,,,,,,,,,,Doaksville,OK,01-17-1837,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/Chi0486.htm,
V0216,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-11-1837,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0488.htm,
V0217,Operable,Kiowa,Kiowa Apache,Tawakoni,,,,,,,,,,,,,,,,,,Fort Gibson,OK,05-26-1837,193,http://digital.library.okstate.edu/kappler/Vol2/treaties/kio0489.htm,
V0218,Operable,Chippewa,,,,,,,,,,,,,,,,,,,,St Peters,WI,07-29-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0491.htm,
V0219,Operable,Sioux of the Mississippi,,,,,,,,,,,,,,,,,,,,Washington DC,DC,09-29-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0493.htm,
V0220,Operable,Sauk ,Fox,,,,,,,,,,,,,,,,,,,Washington DC,DC,10-21-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0495.htm,
V0221,Operable,Yankton Sioux,,,,,,,,,,,,,,,,,,,,Washington DC,DC,10-21-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/yan0496.htm,
V0222,Operable,Sauk of the Missouri,Fox of the Missouri,,,,,,,,,,,,,,,,,,,Washington DC,DC,10-21-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0497.htm,
V0223,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,Washington DC,DC,11-01-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0498.htm,
V0224,Operable,Iowa,,,,,,,,,,,,,,,,,,,,St Louis,MO,11-23-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0500.htm,
V0225,Operable,Chippewa,,,,,,,,,,,,,,,,,,,,Flint River ,MI,12-20-1837,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0501.htm,
V0226,Operable,New York Indians: Six Nations,,,,,,,,,,,,,,,,,,,,Buffalo Creek,NY,01-15-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/new0502.htm,
V0227,Operable,Chippewa of Saginaw,,,,,,,,,,,,,,,,,,,,Saginaw,MI,01-23-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0516.htm,
V0228,Operable,Oneida: First Christian and Orchard Parties,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-03-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/one0517.htm,
V0229,Operable,Iowa,,,,,,,,,,,,,,,,,,,,Great Nemaha Subagency,KS,10-19-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0518.htm,
V0230,Operable,Miami,,,,,,,,,,,,,,,,,,,,Forks of the Wabash,IN,11-06-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0519.htm,
V0231,Operable,Creek,,,,,,,,,,,,,,,,,,,,Fort Gibson,OK,11-23-1838,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0524.htm,
V0232,Operable,Osage,,,,,,,,,,,,,,,,,,,,Fort Gibson,OK,01-11-1839,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0525.htm,
V0233,Operable,Chippewa of Saginaw,,,,,,,,,,,,,,,,,,,,Lower Saginaw,MI,02-07-1839,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0528.htm,
V0234,Operable,Stockbridge ,Munsee,,,,,,,,,,,,,,,,,,,Stockbridge,WI,09-03-1839,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sto0529.htm,
V0235,Operable,Miami,,,,,,,,,,,,,,,,,,,,Forks of the Wabash,IN,11-28-1840,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0531.htm,
V0236,Operable,Wyandot,,,,,,,,,,,,,,,,,,,,"Council House, Upper Sandusky",OH,03-17-1842,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0534.htm,
V0237,Operable,Seneca,,,,,,,,,,,,,,,,,,,,Buffalo Creek,NY,05-20-1842,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sen0537.htm,
V0238,Operable,Chippewa of the Mississippi and Lake Superior,,,,,,,,,,,,,,,,,,,,La Pointe of Lake Superior,WI,10-04-1842,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0542.htm,
V0239,Operable,Sauk in Iowa,Fox in Iowa,,,,,,,,,,,,,,,,,,,Sauk and Fox Agency,IA,10-11-1842,194,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0546.htm,
V0240,Operable,Creek,Seminole,,,,,,,,,,,,,,,,,,,Creek Agency,OK,01-04-1845,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0550.htm,
V0241,Operable,Kansa,,,,,,,,,,,,,,,,,,,,Methodist Mission,KS,01-14-1846,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/kan0552.htm,
V0242,Operable,Comanche,Hainai,Caddo,Anadarko,Lipan,Tonkawa,Kitsai,Tawakoni,,,,,,,,,,,,,"Council Springs, Robinson County",TX,05-15-1846,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/com0554.htm,
V0243,Operable,Potawatomi,Chippewa,Ottawa,,,,,,,,,,,,,,,,,,Agency near Council Bluffs and at Potawatomi Creek near the Osage River,IA,06-05-1846,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0557.htm,
V0244,Operable,Cherokees,,,,,,,,,,,,,,,,,,,,Washington DC,DC,08-06-1846,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0561.htm,
V0245,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,Washington DC,DC,10-13-1846,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0565.htm,
V0246,Operable,Chippewa of the Mississippi and Lake Superior,,,,,,,,,,,,,,,,,,,,Fond du Lac of Lake Superior,WI,08-02-1847,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0567.htm,
V0247,Operable,Chippewa,,,,,,,,,,,,,Pillager,,,,,,,Leech Lake,WI,08-21-1847,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/pil0569.htm,
V0248,Operable,Chawi Pawnee,Skiri Pawnee,Kitkahahki Pawnee,Pitahawirata Pawnee,,,,,,,,,,,,,,,,,Fort Childs,NE,08-06-1848,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0571.htm,
V0249,Operable,Menominee,,,,,,,,,,,,,,,,,,,,Lake Powawhaykonnay,WI,10-18-1848,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0572.htm,
V0250,Operable,Stockbridge ,,,,,,,,,,,,,,,,,,,,Stockbridge,WI,11-24-1848,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/sto0574.htm,
V0251,Operable,Navajo,,,,,,,,,,,,,,,,,,,,Canyon de Chelly,NM,09-09-1849,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/nav0583.htm,
V0252,Operable,Ute,,,,,,,,,,,,,,,,,,,,Abiquiu,NM,12-30-1849,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/uta0585.htm,
V0253,Operable,Wyandot,,,,,,,,,,,,,,,,,,,,Washington DC,DC,04-01-1850,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0587.htm,
V0254,Operable,Sisseton Sioux,Wahpeton Sioux,,,,,,,,,,,,,,,,,,,Traverse des Sioux,MN,07-23-1851,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0588.htm,
V0255,Operable,Mdewakanton Sioux,Wahpekute Sioux,,,,,,,,,,,,,,,,,,,Mendota,MN,08-05-1851,195,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0591.htm,
V0256,Operable,Sioux ,Crow ,Mandan ,Arikara,Cheyenne,Arapaho,Gros Ventre,Assiniboine,,,,,,,,,,,,,Fort Laramie,WY,09-17-1851,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0594.htm,
V0257,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Washington DC,DC,06-22-1852,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0596.htm,
V0258,Operable,Apache,,,,,,,,,,,,,,,,,,,,Santa Fe,NM,07-01-1852,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/apa0598.htm,
V0259,Operable,Comanche,Kiowa ,Apache,,,,,,,,,,,,,,,,,,Fort Atkinson,OK,07-27-1853,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/com0600.htm,
V0260,Operable,Rogue River,,,,,,,,,,,,,,,,,,,,Table Rock near Rogue River,OR,09-10-1853,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/rog0603.htm,
V0261,Operable,Umpqua: Cow Creek Band,,,,,,,,,,,,,,,,,,,,"Cow Creek, Umpqua Valley",OR,09-19-1853,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/ump0606.htm,
V0262,Operable,Oto,Missouria,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-15-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/oto0608.htm,
V0263,Operable,Omaha,,,,,,,,,,,,,,,,,,,,Washington DC,DC,03-16-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/oma0611.htm,
V0264,Operable,Delaware,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-06-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0614.htm,
V0265,Operable,Shawnee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-10-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/sha0618.htm,
V0267,Operable,Menominee,,,,,,,,,,,,,,,,,,,,Falls of Wolf River,WI,05-12-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/men0626.htm,
V0268,Operable,Iowa,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-17-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/iow0628.htm,
V0269,Operable,Sauk of Missouri,Fox of the Missouri,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-18-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0631.htm,
V0270,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,Washington DC,DC,05-18-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0634.htm,
V0271,Operable,Kaskaskia,Peoria,Piankeshaw,,,,,,,,,,,,,,,,,,Washington DC,DC,05-30-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/kas0636.htm,
V0272,Operable,Miami,,,,,,,,,,,,,,,,,,,,Washington DC,DC,06-05-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0641.htm,
V0273,Operable,Chippewa of the Mississippi and Lake Superior,,,,,,,,,,,,,,,,,,,,La Pointe,WI,09-30-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0648.htm,
V0274,Operable,Choctaw,Chickasaw,,,,,,,,,,,,,,,,,,,"Doaksville, Choctaw Country",OK,11-04-1854,196,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0652.htm,
V0275,Operable,Rogue River,,,,,,,,,,,,,,,,,,,,Table Rock Reserve,OR,11-15-1854,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/rog0654.htm,
V0276,Operable,Chasta,Scoton,Grave Creek band of Umpqua,,,,,,,,,,,,,,,,,,Applegate Creek and Rogue River,OR,11-18-1854,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/cha0655.htm,
V0277,Operable,Umpqua,Kalapuya,,,,,,,,,,,,,,,,,,,"Calapooia Cr, Douglas County",OR,11-29-1854,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/ump0657.htm,
V0278,Operable,Oto,Missouria,,,,,,,,,,,,,,,,,,,Nebraska City,NE,12-09-1854,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/con0660.htm,
V0279,Operable,Nisqually,Puyallup,Steilacoom,Squaxin S'Homamish,Stehchass,Tapeeksin,Squiatil,Sahewamish,,,,,,,,,,,,,Medicine Creek,WA,12-26-1854,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/nis0661.htm,
V0280,Operable,Kalapuya,,,,,,,,,,,,,,,,,,,,Dayton,OR,01-22-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/kal0665.htm,
V0281,Operable,Duwamish,Suquamish,,,,,,,,,,,,,,,,,,,Point Elliot,WA,01-22-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/dwa0669.htm,
V0282,Operable,Clallam,Twana,Chemakum,,,,,,,,,,,,,,,,,,Point No Point,WA,01-26-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/skl0674.htm,
V0283,Operable,Wyandot,,,,,,,,,,,,,,,,,,,,Washington DC,DC,01-31-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0677.htm,
V0284,Operable,Makah,,,,,,,,,,,,,,,,,,,,Neah Bay,WA,01-31-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/mak0682.htm,
V0285,Operable,Chippewa,,,,,,,,,,,,,Mississippi,Pillager,Lake Winibigoshish,,,,,Washington DC,DC,02-22-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0685.htm,
V0286,Operable,Winnebago,,,,,,,,,,,,,,,,,,,,Washington DC,DC,02-27-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/win0690.htm,
V0287,Operable,Walla Walla,Cayuse,Umatilla,,,,,,,,,,,,,,,,,,"Camp Stevens, Walla Walla Valley",WA,06-09-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/wal0694.htm,
V0288,Operable,Yakima,,,,,,,,,,,,,Camp Stevens,,,,,,,"Camp Stevens, Walla Walla Valley",WA,06-09-1855,197,http://digital.library.okstate.edu/kappler/Vol2/treaties/yak0698.htm,
