ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0036,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Tellico,TN,10-24-1804,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0073.htm,
V0037,Operable,Sauk,Fox,,,,,,,,,,,,,,,,,,,St Louis,MO,11-03-1804,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/sau0074.htm,
V0038,Operable,Wyandot,Ottawa,Delaware,Shawnee,,,,,,,,,,,,,,,,,"Fort Industry, on the Maumee",OH,07-04-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0077.htm,
V0039,Operable,Chickasaw,,,,,,,,,,,,,,,,,,,,Chickasaw country,MS,07-23-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0079.htm,
V0040,Operable,Delaware,Potawatomi,Miami,Eel River,Wea,,,,,,,,,,,,,,,,"Groseland, near Vincennes",IN,08-21-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0080.htm,
V0041,Operable,Sioux Nation,,,,,,,,,,,,,,,,,,,,Mouth of St Peters River,IN,09-23-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio1031.htm,
V0042,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Tellico,TN,10-25-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0082.htm,
V0043,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Tellico,TN,10-27-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0084.htm,
V0044,Operable,Creek,,,,,,,,,,,,,,,,,,,,Washington DC,DC,11-14-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0085.htm,
V0045,Operable,Choctaw,,,,,,,,,,,,,,,,,,,,Mt Dexter,MS,11-16-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/cho0087.htm,
